BidderID,Price
44b9f088-7d6e-48c9-91a9-ab0fca5cdeeb,3650.0
65a8c2a7-eec2-4857-a2de-37bfc8a2aeed,3000.0
c3ad7094-88ae-4a82-a9e1-00bf7acf29e2,2170.0
eb6f6305-3b58-42bc-ad3b-78e7af67498e,1550.0
b5f02143-b63e-4062-bb82-0624909e55ac,1500.0
68174ae2-58b2-485c-a89f-6905b3a47234,1020.0
a6cfc08a-6297-4eed-9ffa-a4db41083060,720.0
20d08fc0-b213-4d18-ba9a-6ce7ec9df829,530.0
bcbad0a2-c502-44ba-9e8a-16ade955ece5,500.0
30284a72-15db-4f39-8699-5e6394d9eb6e,280.0
dbc746aa-f132-4c6c-97ae-7c59e8ab62c6,250.0
18527f56-499f-416b-bef4-c2e20f654223,250.0
40a8299e-7d0a-4e0b-9db5-bb3530854cc4,210.0
16f17cbd-0dd3-4785-ba48-b249eab8c032,210.0
93a72bf6-386f-4f09-855a-762ab0745cb8,200.0
28f05d7e-5c30-4b27-9f81-d88d20d08ac6,200.0
9d3fa57e-444f-421f-9c72-ca655aa75e30,160.0
fa7f5e1c-3016-450a-a778-6aaca9ba1d4a,150.0
40269c75-24f2-4034-a1d5-bcab7d701900,150.0
3a100534-7b8b-4536-9e35-73b4ae6b2a59,140.0
